Type,Phrase Type,Label,Topic,Parent,Label Explanation,Example Sentence,Example Source,Example Url,English,French,Spanish,Italian,Arabic
Entity,,,Taiwan,,,,,,Taiwan Affairs Office/T.A.O.,Bureau des Affaires Taiwanaises,Oficina de Asuntos de Taiwán,Ufficio per gli affari di Taiwan ,مكتب الشؤون التايوانية
Entity,,,Taiwan,,,,,,Democratic Progressive Party/D.P.P.,Parti démocrate progressiste,Partido Democrático Progresista,Partito Progressista Democratico,الحزب الديمقراطي التقدمي
Entity,,,Taiwan,,,,,,Zhu Fenglian,Zhu Fenglian,Zhu Fenglian,Zhu Fenglian,تشو فنجليان
Entity,,,Taiwan,,,,,,Ma Xiaoguang,Ma Xiaoguang,Ma Xiaoguang,Ma Xiaoguang, ما شياو قوانغ
Entity,,,Taiwan,,,,,,Kuomingtan/K.M.T./Guomindang,Kuomintang/Guomindang/Parti nationaliste chinois,Kuomingtan/Partido Nacionalista Chino,Guomindang/Partito Nazionalista Cinese,الكومينتانغ/الحزب الوطني الصيني
Entity,,,Taiwan,,,,,,Tsai Ying-wen/Tsai Yingwen/Tsai Ying Wen,Tsai Ying-wen,Tsai Ing-wen,Tsai Ying-wen,تساي إنغ ون
Entity,,,Taiwan,,,,,,Joseph Wu,Joseph Wu,Joseph Wu,Joseph Wu,جوزيف وو
Entity,,,Taiwan,,,,,,One China Principle,Principe d'une seule Chine,Principio de una China,"principio di ""Una sola Cina""",مبدأ الصين الواحدة
Entity,,,Taiwan,,,,,,Taiwan,Taiwan,Taiwán,Taiwan,تايوان
Entity,,,Taiwan,,,,,,Taiwan Relations Act,Taiwan Relations Act,Acta de Relaciones con Taiwán,Taiwan Relations Act,قانون العلاقات مع تايوان
Entity,,,Xinjiang,,,,,,Xinjiang,Xinjiang,Xinjiang,Xinjiang,شينجيانغ
Entity,,,Xinjiang,,,,,,Adrian Zenz,Adrian Zenz,Adrian Zenz,Adrian Zenz,أدريان زينز
Entity,,,Xinjiang,,,,,,Uyghur/Uighur/Uygur,Ouïghour/Ouïghours,Uigur/Uigures,Uigura/Uiguri,الأويغور
Entity,,,Xinjiang,,,,,,Joanne Smith Finley,Joanne Smith Finley,Joanne Smith Finley,Joanne Smith Finley,جوان سميث فينلي
Entity,,,Xinjiang,,,,,,Uyghur Rights Advocacy Project,Uyghur Rights Advocacy Project,Uyghur Rights Advocacy Project,Uyghur Rights Advocacy Project,مشروع الدفاع عن حقوق الأويغور
Entity,,,Xinjiang,,,,,,World Uyghur Congress,Congrès mondial ouïghour,Congreso Mundial Uigur,Congresso mondiale degli uiguri,مؤتمر الأويغور العالمي
Entity,,,Xinjiang,,,,,,Jerry Grey,Jerry Grey,Jerry Grey,Jerry Grey,جيري غراي/جيري جراي
Entity,,,Xinjiang,,,,,,Nathan Rich,Nathan Rich,Nathan Rich,Nathan Rich,ناثان ريتش
Entity,,,Xinjiang,,,,,,Hikvision,Hikvision,Hikvision,Hikvision,هيكفيجن
Entity,,,Xinjiang,,,,,,Eastern Turkistan,Turkestan oriental,Turquestán/Turkestán Orientañ,Turkestan orientale,تركستان الشرقية
Entity,,,Xinjiang,,,,,,Uyghur forced labor prevention act,Loi sur la prévention du travail forcé des Ouïghours,Acta para la Prevención de Trabajos Forzados de los Uigures,legge sulla prevenzione del lavoro forzato uiguro,قانون الأويغور لمنع العمل القسري/قانون منع العمل الجبري ضد الأويغور
Entity,,,Hong Kong,,,,,,Hong Kong,Hong Kong,Hong Kong,Hong Kong,هونج كونج
Entity,,,Hong Kong,,,,,,National Security Law,Loi sur la sécurité nationale,Ley de Seguridad Nacional,Legge sulla sicurezza nazionale,قانون الأمن القومي
Entity,,,Hong Kong,,,,,,Carrie Lam,Carrie Lam,Carrie Lam,Carrie Lam,كاري لام
Entity,,,Hong Kong,,,,,,Apple Daily,Apple Daily,Apple Daily,Apple Daily,آبل ديلي
Entity,,,Hong Kong,,,,,,Jimmy Lai,Jimmy Lai,Jimmy Lai,Jimmy Lai,جيمي لاي
Entity,,,Hong Kong,,,,,,Joshua Wong,Joshua Wong,Joshua Wong,Joshua Wong,جوشوا وونغ
Entity,,,Hong Kong,,,,,,Nathan Law,Nathan Law,Nathan Law,Nathan Law,ناثان لو
Entity,,,Hong Kong,,,,,,Hong Kong Police,Police de Hong Kong/Police hongkongaise,Policía de Hong Kong,Polizia di Hong Kong,شرطة هونغ كونغ
Entity,,,Hong Kong,,,,,,Basic Law,Loi fondamentale,Ley básica,Basic Law,القانون الأساسي
Entity,,,Hong Kong,,,,,,Sino-British Joint Declaration/Sino British Joint Declaration,Déclaration commune sino-britannique sur la question de Hong Kong,Declaración Conjunta Sino-británica,Dichiarazione congiunta sino-britannica,الإعلان الصيني البريطاني المشترك
Entity,,,Hong Kong,,,,,,University of Hong Kong,Université de Hong Kong,Universidad de Hong Kong,Università di Hong Kong,جامعة هونج كونج
Entity,,,Hong Kong,,,,,,Pillar of Shame,Pilier de la honte/Colonne de l'infamie,Pilar de la Vergüenza,Pilastro della Vergogna,عمود العار/عامود العار
Entity,,,Hong Kong,,,,,,Regional Comprehensive Economic Partnership,Partenariat économique régional global,Asociación Económica Integral Regional,Partenariato Economico Globale Regionale,الشراكة الاقتصادية الإقليمية الشاملة
Entity,,,Hong Kong,,,,,,Hong Kong Trade Development Council,conseil de développement du commerce de Hong Kong,Consejo de Desarrollo del Comercio de Hong Kong,Hong Kong Trade Development Council,مجلس تنمية تجارة هونغ كونغ
Entity,,,Hong Kong,,,,,,Hong Kong Free Press,Hong Kong Free Press,Hong Kong Free Press,Hong Kong Free Press,هونغ كونغ فري برس/مطبعة هونج كونج الحرة
Entity,,,Hong Kong,,,,,,Goddess of Democracy,Déesse de la démocratie,Diosa de la democracia,Dea della Democrazia,آلهة الديمقراطية
Entity,,,Hong Kong,,,,,,Hong Kong alliance,L'Alliance de Hong Kong pour le soutien des mouvements patriotiques démocratiques de Chine,,Alleanza di Hong Kong,تحالف هونغ كونغ
Entity,,,China,,,,,,Belt and Road Initiative,La nouvelle route de la soie,Iniciativa de la Ruta y la Seda,Iniziativa Belt and Road,مبادرة الحزام والطريق
Entity,,,China,,,,,,One Belt One Road,Une ceinture une route,Una franja una ruta,"Una cintura, una strada",حزام واحد، طريق واحد
Entity,,,Belt and Road,,,,,,Global Development Initiative,Initiative de développement global,Iniciativa de desarrollo global,iniziativa di sviluppo globale,مبادرة التنمية العالمية
Entity,,,China,,,,,,Silk Road,Route de la soie,Ruta de la Seda,Via della Seta,طريق الحرير
Entity,,,Belt and Road,,,,,,Space Information Corridor,Couloir d'information spatiale,Corredor de Información Espacial,corridoio di informazioni spaziali,ممر المعلومات الفضائية
Entity,,,Belt and Road,,,,,,Forum on China-Africa Cooperation/Forum on China Africa Cooperation,Forum sur la coopération sino-africaine,Foro de Cooperación China-África,Forum per la cooperazione sino-africana,منتدى التعاون الصيني الأفريقي
Entity,,,Belt and Road,,,,,,Build Back Better,programme Build Back Better,iniciativa Build Back Better,Build Back Better,إعادة البناء بشكل أفضل
Entity,,,Belt and Road,,,,,,Global Gateway,Portail mondial,Portal global,Global Gateway,البوابة العالمية
Entity,,,COVID Origins,,,,,,Fort Detrick,Fort Detrick,Fort Detrick,Fort Detrick,فورت ديتريك
Entity,,,COVID Origins,,,,,,U.S. Army Medical Research Institute of Infectious Diseases/US Army Medial Research Institute of Infectious Diseases,Institut de recherche médicale sur les maladies infectieuses de l'armée des États-Unis,Instituto de Investigaciones Médicas sobre Enfermedades Infecciosas del Ejército de Estados Unidos,istituto di ricerca medica sulle malattie infettive dell'esercito degli Stati Uniti,معهد البحوث الطبية للأمراض المعدية التابع للجيش الأمريكي/معهد البحوث الطبية للأمراض المعدية بالجيش الأمريكي
Entity,,,China,,,,,,Wuhan Institute of Virology,Institut de virologie de Wuhan,Instituto de Virología de Wuhan,Istituto di virologia di Wuhan,معهد ووهان لعلم الفيروسات/معهد ووهان للفيروسات/معهد ووهان لأبحاث الفيروسات
Entity,,,COVID Origins,,,,,,origins of the virus/virus origins/origins of COVID,Origines du virus,Orígenes del virus,origine (del virus),أصول (الفيروس)
Entity,,,COVID Origins,,,,,,White-Tailed Deer/White Tailed Deer,Cerf de Virginie,venados/ciervos cola blanca,cervo dalla coda bianca,الأيل أبيض الذيل
Entity,,,Huawei-TikTok,,,,,,Kovrig,Kovrig,Kvring,Kovrig,كوفريج
Entity,,,Huawei-TikTok,,,,,,Michaels,Les deux Michael,los dos Michaels,Michaels,ميخائيل/مايكلز
Entity,,,Huawei-TikTok,,,,,,Spavor,Spavor,Spavor,Spavor,سبافور
Entity,,,Huawei-TikTok,,,,,,Huawei,Huawei,Huawei,Huawei,هواوي
Entity,,,Huawei-TikTok,,,,,,Meng Wanzhou,Meng Wanzhou,Meng Wanzhou,Meng Wanzhou,منغ وانتشو/منغ وان جو
Entity,,,Huawei-TikTok,,,,,,Huawei Authorized Learning Partner,Huawei Authorized Learning Partner,socios de aprendizaje autorizados de Huawei,Huawei Authorized Learning Partner, الشريك التعليمي المعتمد من هواوي/شريك هواوي المعتمد للتعليم
Entity,,,Huawei-TikTok,,,,,,American University of Science & Technology/American University of Science  Technology,American University of Science & Technology,American University of Science & Technology,Università Americana di Scienza e Tecnologia,الجامعة الأمريكية للعلوم والتكنولوجيا
Entity,,,Huawei-TikTok,,,,,,Technology Fair and Forum for the Middle East and Africa,Technology Fair and Forum for the Middle East and Africa,Technology Fair and Forum for the Middle East and Africa,Technology Fair and Forum for the Middle East and Africa,معرض ومنتدى التكنولوجيا للشرق الأوسط وأفريقيا
Entity,,,Huawei-TikTok,,,,,,Powering Digital Thailand 2022,Powering Digital Thailand 2022,Powering Digital Thailand 2022,Powering Digital Thailand 2022,التشغيل الرقمي في تايلاند 2022
Entity,,,Huawei-TikTok,,,,,,Huawei Tech Investment,Huawei Tech Investment,Huawei Tech Investment,Huawei Tech Investment,هواوي تك للاستثمار
Entity,,,Huawei-TikTok,,,,,,Secure Equipment Act,Secure Equipment Act,Secure Equipment Act,Secure Equipment Act,قانون المعدات الآمنة
Entity,,,Huawei-TikTok,,,,,,TikTok,Tik Tok,Tik Tok,TikTok,تيك توك
Entity,,,China,,,,,,Sinovac,Sinovac,Sinovac,Sinovac,سينوفاك
Entity,,,China,,,,,,Sinopharm,Sinopharm,Sinopharm,Sinopharm,سينوفارم
Entity,,,Vaccines,,,,,,Astra Zeneca,Astra Zeneca,Astra Zeneca,Astra Zeneca,أسترا زينيكا
Entity,,,Vaccines,,,,,,Pfizer,Pfizer,Pfizer,Pfizer,فايزر
Entity,,,Vaccines,,,,,,Johnson & Johnson/Johnson  Johnson,Johnson & Johnson,Johnson & Johnson,Johnson & Johnson,جونسون آند جونسون
Entity,,,Vaccines,,,,,,BioNTech,BioNTech,BioNTech,BioNTech,بيونتيك
Entity,,,Vaccines,,,,,,Moderna,Moderna,Moderna,Moderna,موديرنا
Entity,,,Vaccines,,,,,,Pharmaniaga,Pharmaniaga,Pharmaniaga,Pharmaniaga,فارمانياغا
Entity,,,Vaccines,,,,,,CoronaVac,CoronoVac,CoronaVac,CoronaVac,كورونافاك
Entity,,,Vaccines,,,,,,Global Vaccine Cooperation Action Initiative,Initiative pour l'action mondiale de coopération sur les vaccins,,iniziativa di cooperazione globale sui vaccini,مبادرة التعاون العالمية للعمل في مجال اللقاحات
Entity,,,South China Sea,,,,,,Association of Southeast Asian Nations,Association des nations de l'Asie du Sud-Est,Asociación de Naciones del Sudeste Asiático,Associazione delle Nazioni del Sud-est asiatico,رابطة أمم جنوب شرق آسيا
Entity,,,China,,,,,,South China Sea,Mer de Chine du Sud/Mer de Chine méridionale,Mar del Sur de China/Mar de China Meridional,Mar Cinese Meridionale,بحر جنوب الصين
Entity,,,China,,,,,,Nine-Dash Line/Nine Dash Line,Ligne en 9 traits,linea de los 9 puntos,Linea dei nove tratti,خط القطاعات التسعة
Entity,,,China,,,,,,Declaration on the Conduct of Parties,code de conduite des parties ,Declaración de Conducta de las Partes en el mar de China Meridional,Dichiarazione sulla condotta delle Parti,إعلان لائحة السلوك
Entity,,,China,,,,,,Code of Conduct in the South China Sea,code de conduite des parties en mer de Chine du Sud,Código de Conducta para el Mar de China Meridional,Codice di condotta sul Mar Cinese Meridionale,لائحة السلوك لأطراف بحر جنوب الصين
Entity,,,China,,,,,,China-ASEAN Summit/China ASEAN Summit,Sommet Chine-ASEAN/Sommet Chine-ANASE,Cumbre ASEAN-China,Summit Cina-ASEAN,قمة الصين - آسيان
Entity,,,China,,,,,,Comprehensive and Progressive Trans-Pacific Partnership Agreement/ Comprehensive and Progressive Trans Pacific Partnership Agreement/CPTPPA,Accord de Partenariat transpacifique global et progressiste,Tratado Integral y Progresivo de Asociación Transpacífico,Accordo globale e progressivo per il partenariato transpacifico,الاتفاق الشامل والتقدمي للشراكة العابرة للمحيط الهادئ
Entity,,,China,,,,,,China-Southeast Asia Research Center on the South China Sea/China Southeast Asia Research Center on the South China Sea,China-Southeast Asia Research Center on the South China Sea,,Centro di ricerca congiunto Cina-Sud-Est asiatico sul Mar cinese meridionale ,مركز أبحاث الصين وجنوب شرق آسيا على بحر الصين الجنوبي
Entity,,,China,,,,,,National Institute for South China Sea Studies,National Institute for South China Sea Studies,National Institute for South China Sea Studies,Istituto di ricerca per gli studi sul mar cinese meridionale,
Entity,,,China,,,,,,China Oceanic Development Foundation,China Oceanic Development Foundation,China Oceanic Development Foundation,Fondazione cinese per lo sviluppo oceanico ,المعهد الوطني لدراسات بحر الصين الجنوبي
Entity,,,China,,,,,,China-ASEAN Cooperation Fund/China ASEAN Cooperation Fund,China-ASEAN Cooperation Fund/Fonds de coopération Chine-ASEAN,Fondo de Cooperación China-ASEAN,Fondo di cooperazione Cina-ASEAN,صندوق التعاون الاستثماري بين الصين والآسيان
Entity,,,South China Sea,,,,,,United Nations Convention on the Law of the Sea,Convention des Nations unies sur le droit de la mer,Convención de las Naciones Unidas sobre el Derecho del Mar,Convenzione delle Nazioni Unite sul diritto del mare,اتفاقية الأمم المتحدة لقانون البحار
Entity,,,South China Sea,,,,,,US Navy,Marine américaine,Armada Norteamericana,marina militare degli Stati Uniti,البحرية الأمريكية
Entity,,,South China Sea,,,,,,Indo-Pacific/Indo Pacific,Indo-Pacifique,Indo-Pacífico,Indo-Pacifico,منطقة الهندي-الهادي/منطقة المحيط الهادئ الهندي
Entity,,,General,,,,,,Jake Sullivan,Jake Sullivan,KJake Sullivan,Jake Sullivan,جيك سوليفان
Entity,,,All,,,,,,People's Liberation Army/P.L.A.,Armée populaire de libération,Ejército de Liberación Popular,Esercito popolare di liberazione,جيش التحرير الشعبي الصيني
Entity,,,General,,,,,,Cold War,Guerre froide,Guerra Fría,Guerra fredda,الحرب الباردة
Entity,,,China,,,,,,Li Ruiyu,Li Ruiyu,Li Ruiyu,Li Ruiyu,لي رويو
Entity,,,China,,,,,,Lyu Fan,Lyu Fan,Lyu Fan,Lyu Fan,ليو فان
Entity,,,China,,,,,,Wu Haitao,Wu Haitao,Wu Haitao,Wu Haitao,Wu Haitao
Entity,,,China,,,,,,Yao Fei,Yao Fei,Yao Fei,Yao Fei,Yao Fei
Entity,,,China,,,,,,Zhu Jingyang,Zhu Jingyang,Zhu Jingyang,Zhu Jingyang,Zhu Jingyang
Entity,,,China,,,,,,Qu Xing,Qu Xing,Qu Xing,Qu Xing,تشو شينغ
Entity,,,China,,,,,,Lu Shaye,Lu Shaye,Lu Shaye,Lu Shaye,لو شاي
Entity,,,China,,,,,,Zheng Zeguang,Zheng Zeguang,Zheng Zeguang,Zheng Zeguang,تشنغ تسيغانغ
Entity,,,China,,,,,,Chen Chuandong,Chen Chuandong,Chen Chuandong,Chen Chuandong,تشن تشوان دونغ
Entity,,,China,,,,,,Qian Minjian,Qian Minjian,Qian Minjian,Qian Minjian,تشيان مينجيان
Entity,,,China,,,,,,Liao Liqiang,Liao Liqiang,Liao Liqiang,Liao Liqiang,لياو لي تشيانغ
Entity,,,General,,,,,,Egypt,Egypte,Egipto,Egitto,مصر
Entity,,,General,,,,,,Lebanon,Liban,Líbano,Libano,لبنان
Entity,,,General,,,,,,Jordan,Jordanie,Jordania,Giordania,الأردن
Entity,,,General,,,,,,United Kingdom,Royaume Uni,Reino Unido,Regno Unito,المملكة المتحدة
Entity,,,General,,,,,,France,France,Francia,Francia,فرنسا
Entity,,,General,,,,,,Belgium,Belgique,Bégica,Belgio,بلجيكا
Entity,,,General,,,,,,Spain,Espagne,España,Spagna,إسبانيا
Entity,,,General,,,,,,Italy,Italie,Italia,Italia,إيطاليا
Entity,,,General,,,,,,Edward Snowden,Edward Snowden,Edward Snowden,Edward Snowden,إدوارد سنودن
Entity,,,General,,,,,,National Security Agency,NSA / National Security Agency,Agencia de Seguridad Nacional,agenzia di sicurezza nazionale,وكالة الأمن القومي
Entity,,,General,,,,,,U.S. sanctions/US sanctions,sanctions américaines,sanciones americanas,sanzioni statunitensi,العقوبات الأمريكية
Entity,,,General,,,,,,Holocaust,Holocauste,Holocausto,Olocausto,الهولوكوست/المحرقة
Entity,,,General,,,,,,Asia-Pacific Economic Cooperation/Asia Pacific Economic Cooperation,Coopération économique pour l'Asie-Pacifique,Foro de Cooperación Económica Asia Pacífico,Cooperazione Economica Asia-Pacifico,منتدى التعاون الاقتصادي لدول آسيا والمحيط الهادئ
Entity,,,General,,,,,,World Trade Organization,Organisation mondiale du commerce,Organización Mundial del Comercio,Organizzazione mondiale del commercio,منظمة التجارة العالمية
Entity,,,General,,,,,,Organization for Economic Cooperation and Development,Organisation de coopération et de développement économiques,,Organizzazione per la cooperazione e lo sviluppo economico,منظمة التعاون والتنمية الاقتصادية
Entity,,,General,,,,,,India,Inde,India,India,الهند
Entity,,,General,,,,,,International Olympic Committee,Comité international Olympique ,Comité Olímpico Internacional,Comitato Olimpico Internazionale,اللجنة الأولمبية الدولية
Entity,,,China,,,,,,Peng Shuai,Peng Shuai,Peng Shuai,Peng Shuai,بينغ شواي
Entity,,,China,,,,,,Confucius Institute,Institut Confucius,INstituto Confucio,Istituto Confucio,معهد كونفوشيوس
Entity,,,China,,,,,,Evergrande,Evergrande,Evergrande,Everngrande,إيفرجراند
Entity,,,China,,,,,,Fantasia,Fantasia,Fantasia Holdings,Fantasia,فانتازيا
Entity,,,China,,,,,,Sinic,Sinic,Sinic,Sinico/Sinica,صيني
Entity,,,China,,,,,,China Properties Group,China properties group,China Properties Group,China Properties Group,المجموعة العقارية الصينية
Entity,,,All,,,,,,Tiananmen,Tiananmen/Tian'anmen,Tiananmen,Tiananmen,تيانانمن
Entity,,,General,,,,,,Enes Kanter,Enes Kanter,Enes Kanter,Enes Kanter,أنيس كانتر
Entity,,,China,,,,,,Chinese Constitution,Constitution chinoise,Constitución china,Costituzione cinese,الدستور الصيني
Entity,,,China,,,,,,State Council Information Office,State Council Information Office/ Bureau d'information du conseil des Affaires d'Etat,Oficina de Información del Consejo de Estado,Ufficio di informazioni del Consiglio di stato,المكتب الإعلامي لمجلس الدولة
Entity,,,General,,,,,,European Parliament,Parlement européen,Parlamento Europeo,Parlamento Europeo,البرلمان الأوروبي
Entity,,,China,,,,,,Nanjing Massacre,Massacre de Nankin,Masacre de Nankin,massacro di Nanchino,مذبحة نانجنغ/مذبحة نانجينغ
Entity,,,General,,,,,,Summit for Democracy,Sommet pour la démocratie,Cumbre par la democracia,Summit per la democrazia,قمة من أجل الديمقراطية
Entity,,,General,,,,,,Five Eyes,Five eyes,Alianza Cinco Ojos/Five Eyes,I Cinque Occhi,خمس أعين/العيون الخمس
Entity,,,General,,,,,,Kaisa,Kaisa,Kaisa,Kaisa,كيسا
Entity,,,All,,,,,,China,Chine,China,Cina,الصين
Entity,,,All,,,,,,People's Republic of China/P.R.C.,République populaire de Chine,República Popular de China,Repubblica popolare cinese,جمهورية الصين الشعبية
Entity,,,All,,,,,,Hua Chunying,Hua Chunying,Hua Chunying,Hua Chunying,هوا تشونينج
Entity,,,All,,,,,,Zhao Lijian,Zhao Lijian,Zhao Lijian,Zhao Lijian,تشاو لي جيان
Entity,,,General,,,,,,Human Rights Watch,Human Rights Watch,Human Rights Warch,Human Rights Watch,هيومن رايتس ووتش
Entity,,,General,,,,,,Australian Strategic Policy Institute,Australian Strategic Policy Institute,Instituto Australiano de Política Estratégica,Australian Strategic Policy Institute, معهد السياسة الاستراتيجية الاسترالي
Entity,,,General,,,,,,MERICS,MERICS,MERICS,MERICS,ميريكس
Entity,,,General,,,,,,AUKUS,AUKUS,AUKUS,AUKUS,أوكوس
Entity,,,General,,,,,,Czech Republic,République Tchèque,República Checa,Repubblica Ceca,جمهورية التشيك
Entity,,,General,,,,,,Shinzo Abe,Shinzo Abe,Shinzo Abe,Shinzo Abe,شينزو آبي
Entity,,,General,,,,,,Ukraine,Ukraine,Ucrania,Ucraina,أوكرانيا
Entity,,,General,,,,,,Amnesty International,Amnesty international,Amnistía Internacional,Amnesty International,منظمة العفو الدولية
Entity,,,General,,,,,,Intelligence & Alliance Think Tank/Intelligence  Alliance Think Tank,Intelligence & Alliance Think Tank,Intelligence & Alliance Think Tank,Intelligence & Alliance Think Tank,المؤسسة الفكرية للمخابرات والتحالف
Entity,,,General,,,,,,Taihe Institute,Institut Taihe,Instituto Taihe,Taihe Institute,معهد تايهي
Entity,,,China,,,,,,China International Communications Group/CICG,China International Communications Group (CICG),China International Communications Group (CICG),China International Communications Group (CICG),مجموعة الصين الدولية للاتصالات/المجموعة الصينية للاتصالات الدولية
Entity,,,General,,,,,,Defense Advanced Research Projects Agency,Defense Advanced Research Projects Agency/DARPA,Agencia de Investigación de Proyectos Avanzados de Defensa,Agenzia per i progetti di ricerca avanzata per la difesa,وكالة مشاريع البحوث المتطورة الدفاعية
Entity,,,General,,,,,,COVID-19/COVID 19/COVID,COVID-19,COVID-19,COVID-19,كوفيد-19
Entity,,,General,,,,,,Malaysia,Malaisie,Malasia,Malaysia/Malesia,ماليزيا
Entity,,,General,,,,,,LHTC Broadband,LHTC Broadband,Banda ancha LHTC,LHTC Broadband,أل أتش تي سي لخدمات النطاق العريض
Entity,,,General,,,,,,Saudi Arabia,Arabie saoudite,Arabia Saudí,Arabia Saudita,المملكة العربية السعودية
Entity,,,General,,,,,,Federal Communications Commission,Commission fédérale des communications,Comisión Federal de Comunicaciones,Commissione federale per le comunicazioni,هيئة الاتصالات الفيدرالية
Entity,,,General,,,,,,Central Intelligence Agency,CIA / Central INtelligence Agency,CIA,Agenzia d'informazioni centrale,وكالة الإستخبارات المركزية
Entity,,,General,,,,,,Danish Defense Intelligence Agency,Danish Defense Intelligence Agency,Servicio de Inteligencia de Defensa de Dinamarca,servizio di intelligence della difesa danese,وكالة استخبارات الدفاع الدنماركية
Entity,,,General,,,,,,Catalonia,Catalogne,Cataluña,Catalonia,كاتالونيا
Entity,,,General,,,,,,Westerners,Occidentaux,Occidentales,occidentali,الغربيون
Entity,,,General,,,,,,extremism,Extrémisme,Extremismo,estremismo,التطرف
Entity,,,General,,,,,,terrorism,Terrorisme,Terrorismo,terrorismo,الإرهاب
Entity,,,General,,,,,,Africa,Afrique,África,Africa,أفريقيا
Entity,,,General,,,,,,Native Americans,Amérindiens,Nativos americanos,nativi americani,الأمريكيون الأصليون
Entity,,,General,,,,,,Pakistan,Pakistan,Pakistán,Pakistan,باكستان
Entity,,,General,,,,,,Turkey,Turquie,Turquía,Turchia,تركيا
Entity,,,China,,,,,,Wang Wenbin,Wang Wenbin,Wang Wenbin,Wang Wenbin,وانغ وين بين
Entity,,,All,,,,,,Xi Jinping,Xi Jinping,Xi Jinping,Xi Jinping,شي جين بين
Entity,,,All,,,,,,Chinese Foreign Ministry,Ministère chinois des Affaires étrangères,Ministerio de Asuntos Exteriores de China,Ministro degli Affari Esteri,وزارة الخارجية الصينية
Entity,,,All,,,,,,Chinese ambassador,Ambassadeur chinois,Embajador chino,Ambasciatore cinese,سفير الصين
Entity,,,All,,,,,,Chinese embassy,Ambassade de Chine,Embajada de China,Ambasciata cinese,السفارة الصينية
Entity,,,All,,,,,,Chinese,Chinois,chino,cinese/cinesi,صيني
Entity,,,General,,,,,,USA/US/U.S.A./U.S./America,Etats-Unis,Estados Unidos,USA/Stati Uniti d'America,الولايات المتحدة الأمريكية
Entity,,,General,,,,,,US congress,Congrès des Etats-Unis,Congreso de Estados Unidos,Congresso degli Stati Uniti,الكونغرس الأمريكي
Entity,,,General,,,,,,White House,Maison blanche,Casa Blanca,Casa Bianca,البيت الابيض
Entity,,,General,,,,,,Germany,Allemagne,Alemania,Germania,ألمانيا
Entity,,,All,,,,,,Beijing,Pékin,Pekín,Pechino,بكين
Entity,,,General,,,,,,Canada,Canada,Canadá,Canada,كندا
Entity,,,General,,,,,,BBC,BBC,BBC,BBC,بي بي سي
Entity,,,General,,,,,,New York Times,New York Times,New York Times,New York Times ,نيويورك تايمز
Entity,,,All,,,,,,Chinese Communist Party,Parti communiste chinois,Partido Comunista Chino,Partito comunista cinese,الحزب الشيوعي الصيني
Entity,,,All,,,,,,Communist Party of China,Parti communiste chinois,Partido Comunista China,Partito comunista cinese,الحزب الشيوعي الصيني
Entity,,,General,,,,,,Donald Trump,Donald Trump,Donald Trump,Donald Trump,دونالد ترمب
Entity,,,General,,,,,,Mike Pompeo,Mike Pompeo,Mike Pompeo,Mike Pompeo,مايك بومبيو
Entity,,,General,,,,,,Joe Biden,Joe Biden,Joe Biden,Joe Biden,جو بايدن
Entity,,,General,,,,,,Antony Blinken,Antony Blinken,Anthony Bliken ,Antony Blinken,أنتوني بلينكين
Entity,,,General,,,,,,Nancy Pelosi,Nancy Pelosi,Nancy Pelosi,Nancy Pelosi,نانسي بيلوسي
Entity,,,General,,,,,,Europe,Europe,Europa,Europa,أوروبا
Entity,,,General,,,,,,Washington,Washington,Washington,Washington,واشنطن
Entity,,,General,,,,,,British,Britannique,Británico (masc) Británica (fem),Britannico/britannici,بريطاني
Entity,,,General,,,,,,Western media,Média occidental,medios occidentales,media occidentali,الإعلام الغربي
Entity,,,General,,,,,,Wikileaks,Wikileaks,Wikileaks,Wikileaks,ويكيليكس
Entity,,,China,,,,,,CPPCC,CCPPC,CCPPC Conferencia Consultiva Política del Pueblo Chino,CPCPC,المؤتمر الاستشاري السياسي للشعب الصيني
Entity,,,General,,,,,,Olympic games,Jeux olympiques,Juegos Olímpicos,giochi olimpici,الألعاب الأولمبية
Entity,,,China,,,,,,Xinhua,Xinhua,Xinhua,Xinhua/agenzia Nuova Cina,شينخوا/وكالة أنباء شينخوا
Entity,,,China,,,,,,Global Times,Global Times,Global Times,Global Times,جلوبال تايمز
Entity,,,China,,,,,,CGTN,CGTN,CGNT,CGTN,شبكة تلفزيون الصين العالمية
